season,batter_id,batter_name,team,pitches_seen,qualified_300,za_raw,dv_per_100,raw_dv,swing_aggression,za_percentile,low_opposite_support_pitches,low_opposite_support_pct,games_seen,swing_pitches,swing_decision_value_per_100,take_pitches,take_decision_value_per_100,heart_pitches,heart_raw_dv,heart_decision_value_per_100,heart_swing_decision_value_per_100,heart_take_decision_value_per_100,shadow_in_pitches,shadow_in_raw_dv,shadow_in_decision_value_per_100,shadow_in_swing_decision_value_per_100,shadow_in_take_decision_value_per_100,shadow_out_pitches,shadow_out_raw_dv,shadow_out_decision_value_per_100,shadow_out_swing_decision_value_per_100,shadow_out_take_decision_value_per_100,chase_pitches,chase_raw_dv,chase_decision_value_per_100,chase_swing_decision_value_per_100,chase_take_decision_value_per_100,waste_pitches,waste_raw_dv,waste_decision_value_per_100,waste_swing_decision_value_per_100,waste_take_decision_value_per_100,dv_plus
2026,65207,신민재,LG,1590,True,0.529136,6.616391,105.200609,-4.224589,63.496933,1590,100.0,114,618,2.41976,972,4.19663,393,22.908323,1.440775,1.913174,-0.472399,333,14.842292,0.933477,1.341894,-0.408417,297,7.584729,0.477027,-0.372957,0.849984,362,30.723115,1.932271,-0.422414,2.354685,205,29.142151,1.83284,-0.039938,1.872778,109.459674
2026,53123,오스틴,LG,2116,True,-0.573065,6.578896,139.209435,-1.228336,45.705521,2116,100.0,125,890,1.422461,1226,5.156435,459,37.660169,1.779781,2.098188,-0.318407,429,14.321723,0.67683,1.06533,-0.3885,366,7.999622,0.378054,-0.487536,0.865589,554,32.186674,1.521109,-1.046587,2.567696,308,47.041247,2.223121,-0.206935,2.430056,108.856008
2026,69102,문보경,LG,1577,True,1.561224,6.810504,107.401645,-3.451593,74.539877,1577,100.0,95,644,2.134877,933,4.675626,365,28.978116,1.837547,2.334837,-0.49729,325,15.239631,0.966368,1.342756,-0.376387,302,9.146411,0.579988,-0.426867,1.006855,390,26.104048,1.655298,-0.957735,2.613033,195,27.933439,1.771302,-0.158113,1.929416,112.584879
2026,79365,박동원,LG,1439,True,4.210125,7.26116,104.488091,2.989517,96.625767,1439,100.0,108,672,2.094153,767,5.167007,306,21.427815,1.489077,1.924166,-0.43509,295,18.252296,1.268401,1.633499,-0.365098,266,8.502938,0.590892,-0.311703,0.902595,352,25.241357,1.75409,-1.022937,2.777027,220,31.063685,2.158699,-0.128872,2.287572,119.840407
2026,68119,문성주,LG,886,True,0.449228,6.532433,57.877356,1.356919,62.269939,886,100.0,69,394,2.10629,492,4.426143,208,13.812183,1.558937,1.952691,-0.393754,188,9.770853,1.102805,1.397126,-0.294321,183,1.609805,0.181694,-0.49982,0.681514,191,13.774269,1.554658,-0.687366,2.242024,116,18.910246,2.134339,-0.056341,2.19068,108.107957
2026,79109,오지환,LG,1595,True,1.558505,6.29655,100.429965,0.432358,73.312883,1595,100.0,111,702,1.960072,893,4.336477,368,27.178688,1.703993,2.015188,-0.311195,348,14.891537,0.933639,1.298033,-0.364394,308,-1.134642,-0.071137,-0.773718,0.702581,377,30.267944,1.897677,-0.517498,2.415175,194,29.226438,1.832379,-0.061933,1.894311,104.310258
2026,69100,구본혁,LG,1182,True,-0.616196,5.795371,68.50128,2.646785,45.092025,1182,100.0,103,586,2.32406,596,3.471311,281,24.197692,2.047182,2.265366,-0.218184,267,16.129169,1.364566,1.680597,-0.316031,228,-1.8435,-0.155964,-0.662459,0.506495,284,14.135233,1.195874,-0.888442,2.084316,122,15.882685,1.343713,-0.071002,1.414715,96.241314
2026,62415,박해민,LG,2002,True,-3.497488,6.642108,132.974995,-3.722765,13.190184,2002,100.0,123,826,2.676546,1176,3.965561,522,41.010884,2.048496,2.439334,-0.390838,462,22.65016,1.131377,1.502009,-0.370633,347,4.50202,0.224876,-0.460884,0.68576,435,35.360604,1.766264,-0.600006,2.36627,236,29.451328,1.471095,-0.203907,1.675002,109.873716
2026,78548,장성우,KT,1008,True,-0.46519,7.102933,71.597566,-15.638908,48.159509,1008,100.0,63,320,2.106777,688,4.996157,223,12.592238,1.24923,2.000502,-0.751272,219,5.132413,0.509168,1.221935,-0.712767,228,2.214009,0.219644,-0.766041,0.985685,230,27.90036,2.767893,-0.349619,3.117512,108,23.758547,2.356999,0.0,2.356999,117.292965
2026,68106,이재원,LG,404,True,3.652529,6.882862,27.806761,3.053541,94.171779,404,100.0,44,197,2.207075,207,4.675787,95,10.339293,2.559231,2.806456,-0.247225,79,3.386539,0.838252,1.094538,-0.256286,72,1.974705,0.488788,-0.212309,0.701097,106,5.949744,1.472709,-1.267586,2.740295,52,6.15648,1.523881,-0.214024,1.737905,113.749838
2026,50054,천성호,LG,896,True,-0.208897,5.224577,46.812212,4.555207,51.226994,896,100.0,87,448,1.671318,448,3.55326,217,14.426927,1.610148,2.021028,-0.41088,196,8.352531,0.932202,1.400441,-0.468239,180,1.296896,0.144743,-0.651962,0.796705,206,8.461672,0.944383,-0.94706,1.891444,97,14.274186,1.593101,-0.151129,1.74423,87.051573
2026,66706,장진혁,KT,223,False,5.099687,6.66466,14.862193,-0.792491,98.773006,223,100.0,33,96,1.697809,127,4.966851,55,5.059361,2.268772,2.464948,-0.196176,47,1.789009,0.802246,1.112253,-0.310007,42,1.339503,0.600674,-1.133936,1.73461,58,3.916903,1.756459,-0.745455,2.501914,21,2.757416,1.236509,0.0,1.236509,110.236802
2026,52154,이주헌,LG,478,True,2.543862,4.157026,19.870585,6.568246,83.128834,478,100.0,57,258,1.272173,220,2.884853,113,7.589042,1.587666,1.918035,-0.33037,105,3.19209,0.667801,1.196162,-0.52836,101,0.72503,0.15168,-0.479451,0.63113,108,3.733803,0.78113,-1.143597,1.924727,51,4.630622,0.968749,-0.218976,1.187725,69.864081
2026,54529,레이예스,LOT,1990,True,-1.298507,5.232274,104.122257,10.404392,38.343558,1990,100.0,123,1059,1.344457,931,3.887817,438,30.859372,1.550722,1.761747,-0.211025,384,21.487295,1.079764,1.290682,-0.210918,374,0.492394,0.024743,-0.404936,0.429679,484,10.67764,0.536565,-1.066609,1.603174,310,40.605556,2.04048,-0.236427,2.276907,87.175494
2026,50150,손호영,LOT,677,True,-3.525485,4.170285,28.232829,6.446154,11.96319,677,100.0,55,338,1.28952,339,2.880765,137,8.476628,1.252087,1.601735,-0.349648,143,9.283017,1.371199,1.622554,-0.251355,139,0.707179,0.104458,-0.333086,0.437544,171,2.671075,0.394546,-1.280135,1.674681,87,7.09493,1.047996,-0.321547,1.369542,70.07755
