season,batter_id,batter_name,batter_stance,pitches_seen,qualified_300,swing_pct,expected_swing_pct,decision_value,decision_value_per_100,decision_capture_pct,swing_pitches,swing_decision_value_per_100,take_pitches,take_decision_value_per_100,in_zone_pitches,in_zone_decision_value_per_100,out_zone_pitches,out_zone_decision_value_per_100,heart_pitches,heart_decision_value_per_100,heart_swing_decision_value_per_100,heart_take_decision_value_per_100,shadow_pitches,shadow_decision_value_per_100,shadow_swing_decision_value_per_100,shadow_take_decision_value_per_100,chase_pitches,chase_decision_value_per_100,chase_swing_decision_value_per_100,chase_take_decision_value_per_100,waste_pitches,waste_decision_value_per_100,waste_swing_decision_value_per_100,waste_take_decision_value_per_100,zone_awareness_plus,z_zone_awareness_plus,o_zone_awareness_plus
2023,66702,이시원,,138,False,44.927536,48.292169,7.696314,5.577039,57.829519,62,3.981678,76,6.878519,74,4.8022,64,6.472948,42,8.117651,12.215811,-2.127749,59,0.296722,-2.625427,2.936081,30,8.485558,-11.52459,11.564042,7,22.373828,,22.373828,108.224,109.005,106.006
2023,74163,이용규,,719,True,46.036161,47.649226,41.074188,5.712683,66.628206,331,4.367968,388,6.859849,394,4.982051,325,6.598433,209,5.843991,9.60745,-3.079051,338,3.541447,1.808045,5.118158,127,8.300123,-10.50663,12.025989,45,14.108889,-18.476941,15.624509,110.646,112.655,107.295
2023,63260,이우성,,1490,True,44.42953,45.912572,70.805352,4.752037,53.04457,662,3.096481,828,6.075682,801,3.94254,689,5.693121,451,5.760533,10.297355,-4.529503,626,1.511349,-1.065878,3.823043,298,7.478193,-15.10004,12.030256,115,11.373295,-34.233159,12.594896,93.494,91.558,97.998
2023,68700,이원석,,570,True,37.368421,44.76023,36.688443,6.436569,62.19082,213,3.895347,357,7.95276,291,4.056806,279,8.918687,155,5.574414,10.904556,-5.294897,244,3.168654,-0.342164,5.407096,120,9.079526,-19.418519,12.843419,51,18.47285,,18.47285,123.571,93.877,131.124
2023,75566,이원석,,1334,True,45.427286,42.635763,78.447407,5.880615,54.786346,606,1.769338,728,9.302915,614,4.953507,720,6.671233,318,6.99202,10.231096,-4.276311,541,1.86229,-0.634589,4.5809,341,7.961607,-16.109997,14.179364,134,14.170681,-21.172569,16.118734,113.644,112.076,108.043
2023,67207,이유찬,,943,True,44.008484,47.516919,41.671064,4.418989,49.884665,415,2.549463,528,5.888408,489,4.350112,454,4.493176,270,5.496852,10.912237,-3.146936,419,1.856314,-0.380528,4.040401,190,5.254363,-15.454027,10.952644,64,14.169247,-41.019954,15.045266,87.548,99.83,85.674
2023,67993,이재용,,6,False,66.666667,61.89239,0.18371,3.061838,86.372647,4,4.246383,2,0.69275,6,3.061838,0,,4,3.644986,5.343059,-1.449235,2,1.895544,0.956353,2.834735,0,,,,0,,,,63.317,73.683,
2023,76812,이재원,,171,False,49.707602,42.155615,7.899109,4.619362,47.588191,85,1.396008,86,7.805235,77,4.070546,94,5.068924,37,7.220895,12.194091,-8.25127,73,0.826079,-1.270994,3.831885,42,6.389842,-12.651695,13.146516,19,10.213715,-9.650837,13.938319,91.126,94.156,91.587
2023,68106,이재원,,503,True,44.532803,45.558734,25.580674,5.085621,52.179399,224,2.489621,279,7.169865,245,4.09089,258,6.03023,130,5.690631,11.117859,-5.680703,212,1.400201,-0.237293,3.234194,104,8.169095,-14.562889,13.250362,57,11.786962,-23.484959,15.178493,99.45,94.568,101.46
2023,52415,이재현,,2049,True,41.14202,44.629867,96.636288,4.716266,53.045092,843,2.142307,1206,6.515476,1024,3.682888,1025,5.748636,528,5.24592,10.793031,-3.356123,901,1.640975,-0.783556,3.796114,420,6.562937,-13.135713,12.088168,200,13.294156,-19.64742,14.312967,92.856,86.288,98.568
2023,67807,이정범,,99,False,54.545455,42.837984,4.901636,4.951148,48.073024,54,1.742598,45,8.801407,52,4.237548,47,5.740662,25,7.635971,11.773351,-5.465731,43,0.548877,-0.649714,2.382017,20,6.146369,-13.113202,18.986083,11,13.885023,-7.79518,16.053043,97.049,97.545,98.486
2023,67341,이정후,,1474,True,37.449118,41.956499,74.519483,5.055596,54.128794,552,1.340741,922,7.279674,703,3.640934,771,6.345488,390,5.110178,10.762741,-2.281635,620,1.935467,-2.38293,5.310765,321,7.374865,-17.21596,11.698527,143,13.228374,-14.904905,15.572814,98.914,85.436,104.697
2023,67644,이정훈,,593,True,46.037099,43.503977,24.478442,4.127899,50.441879,273,1.395854,320,6.458675,283,3.568959,310,4.638158,144,5.04664,8.133808,-3.564931,247,1.048672,0.143574,2.121974,134,5.552098,-15.514865,11.116955,68,10.560659,-13.187633,12.445445,82.351,83.976,87.163
2023,50167,이주형,,924,True,43.290043,45.86205,47.10222,5.097643,56.431042,400,2.539903,524,7.050116,500,3.378749,424,7.124641,277,5.002491,8.707234,-3.36587,376,2.135735,-0.225761,4.063719,203,8.001615,-16.917676,13.193134,68,13.193646,-6.38888,14.417554,99.665,80.115,112.699
