season,batter_id,batter_name,batter_stance,pitches_seen,plate_appearances,terminal_plate_appearances,walks,strikeouts,hit_by_pitch,bb_pct,k_pct,hbp_pct,qualified_300,swing_pct,take_pct,zone_pct,z_swing_pct,o_swing_pct,z_minus_o_swing,heart_swing_pct,shadow_in_swing_pct,shadow_out_swing_pct,chase_swing_pct,waste_swing_pct,heart_minus_chase_swing,contact_pct,whiff_pct,z_contact_pct,o_contact_pct,simple_judgment_pct,seager_a_zone_swings,seager_b_out_swings,seager_c_zone_takes,seager_d_out_takes,selection_tendency_pct,hittable_take_pct,simple_seager,observed_decision_run,observed_decision_run_per_100,heart_pitches,shadow_in_pitches,shadow_out_pitches,chase_pitches,waste_pitches,heart_vs_chase_residual,zone_vs_out_residual,decision_run_residual,heart_vs_chase_residual_z,zone_vs_out_residual_z,decision_run_residual_z,heart_vs_chase_residual_outlier,zone_vs_out_residual_outlier,decision_run_residual_outlier,cluster_id,cluster_distance,pure_hc_residual_z,pure_zo_residual_z,pure_z_attack_z,out_zone_take_pct,pure_o_restraint_z,pure_cluster_id,pure_cluster_distance,pure_hc_residual_z_adjusted,pure_zo_residual_z_adjusted,pure_z_attack_z_adjusted,pure_o_restraint_z_adjusted,pure_z_attack_z_final,pure_o_restraint_z_final,zone_awareness_raw,z_zone_awareness_raw,o_zone_awareness_raw,zone_awareness_plus,z_zone_awareness_plus,o_zone_awareness_plus,bb_vs_oza_residual,bb_vs_oza_residual_z,bb_vs_oza_residual_outlier,k_vs_zza_residual,k_vs_zza_residual_z,k_vs_zza_residual_outlier
2026,52605,김도영,R,1980,529,529,70,90,6,13.2325,17.0132,1.1342,True,43.6869,56.3131,41.5657,69.6233,25.2377,44.3856,76.4706,61.6798,47.3973,21.6535,3.169,54.8171,74.9133,25.0867,86.0384,53.0822,72.6263,573,292,250,865,60.153,22.4215,37.7315,45.563486,2.301186,442,381,365,508,284,7.46913,6.773269,2.120646,1.130752,1.24481,1.75928,False,False,True,3,1.619907,1.130752,1.24481,0.744518,74.7623,0.592842,3,0.84443,0.70625,0.80695,0.418507,0.505831,0.603007,0.654646,0.628826,0.603007,0.654646,118.73,109.045,109.82,2.76708,1.246474,False,-3.905788,-0.638512,False
2026,69442,김도환,R,430,112,112,11,30,3,9.8214,26.7857,2.6786,True,43.9535,56.0465,44.6512,66.6667,25.6303,41.0364,76.4706,55.5556,41.4634,22.3404,9.6774,54.1302,68.254,31.746,76.5625,50.8197,70.9302,128,61,64,177,58.0328,26.556,31.4768,-5.821455,-1.353827,102,90,82,94,62,7.30119,3.587799,-1.514683,1.105328,0.659375,-1.256575,False,False,False,3,1.283184,1.105328,0.659375,0.282966,74.3697,0.525137,3,1.401849,0.680826,0.221515,-0.043045,0.438126,-0.062022,0.567022,0.2525,-0.062022,0.567022,107.521,99.07,108.505,-0.461672,-0.207967,False,6.852019,1.120157,False
2026,53344,김동헌,R,289,86,86,5,19,3,5.814,22.093,3.4884,False,45.3287,54.6713,49.481,53.1469,37.6712,15.4757,55.1724,50.0,43.3962,38.806,23.0769,16.3664,74.0458,25.9542,92.1053,49.0909,57.7855,76,55,67,91,54.491,42.4051,12.0859,0.300373,0.103935,87,56,53,67,26,,,,,,,,,,,,-2.728453,-3.115367,-1.827598,62.3288,-1.551341,1,3.477693,-2.044125,-2.358052,-1.240248,-1.445354,-1.787017,-1.870577,-1.828797,-1.787017,-1.870577,45.529,73.195,71.941,,,,,,
2026,52504,김동혁,L,143,37,37,6,7,0,16.2162,18.9189,0.0,False,41.2587,58.7413,43.3566,72.5806,17.284,55.2966,80.5556,61.5385,30.7692,15.0,0.0,65.5556,83.0508,16.9492,93.3333,50.0,78.3217,45,14,17,67,59.8214,20.2381,39.5833,-2.790342,-1.951288,36,26,26,40,15,,,,,,,,,,,,1.995448,2.640453,1.206179,82.716,1.964474,3,3.255966,1.570946,2.202593,0.880168,1.877463,1.268194,2.429812,1.849003,1.268194,2.429812,155.073,119.023,136.447,,,,,,
2026,55502,김동현,L,181,46,46,4,10,1,8.6957,21.7391,2.1739,False,43.6464,56.3536,43.6464,64.557,27.451,37.106,71.4286,56.7568,57.5,11.6279,0.0,59.8007,73.4177,26.5823,82.3529,57.1429,69.0608,51,28,28,74,59.2,27.451,31.749,0.216508,0.119617,42,37,40,43,19,,,,,,,,,,,,0.738523,0.076583,-0.046378,72.549,0.211154,3,2.294786,0.314021,-0.361277,-0.372389,0.124143,-0.536558,0.160666,-0.187946,-0.536558,0.160666,94.402,91.952,102.41,,,,,,
2026,56637,김민규,R,174,45,45,1,15,0,2.2222,33.3333,0.0,False,55.1724,44.8276,49.4253,69.7674,40.9091,28.8583,72.0,66.6667,55.8824,39.0244,7.6923,32.9756,72.9167,27.0833,81.6667,58.3333,64.3678,60,36,26,52,46.4286,33.3333,13.0953,1.646578,0.946309,50,36,34,41,13,,,,,,,,,,,,-0.189005,-0.407709,0.767013,59.0909,-2.109723,4,1.434921,-0.345874,-0.55617,0.273989,-1.414425,0.394778,-1.830549,-0.717885,0.394778,-1.830549,78.618,105.922,72.542,,,,,,
2026,53554,김민석,L,1753,443,442,43,75,5,9.7285,16.9683,1.1312,True,41.3006,58.6994,45.6361,61.0,24.7639,36.2361,69.8337,51.1873,36.4706,23.5012,7.1429,46.3325,84.116,15.884,90.5738,70.7627,68.7393,488,236,312,717,59.5021,30.3207,29.1814,23.446676,1.337517,421,379,340,417,196,0.380488,-1.573825,1.400123,0.057602,-0.289242,1.161537,False,False,False,1,1.146383,0.057602,-0.289242,-0.601658,75.2361,0.67455,2,0.738372,0.290454,-0.07744,-0.241035,0.332105,-0.347297,0.42981,0.041257,-0.347297,0.42981,101.229,94.791,106.447,-0.269195,-0.121263,False,-2.542712,-0.415678,False
2026,54097,김민석,R,9,3,3,1,0,0,33.3333,0.0,0.0,False,22.2222,77.7778,11.1111,100.0,12.5,87.5,100.0,,0.0,25.0,0.0,75.0,100.0,0.0,100.0,100.0,88.8889,1,1,0,7,87.5,0.0,87.5,-0.660657,-7.340631,1,0,2,4,2,,,,,,,,,,,,4.569005,8.192213,5.486597,87.5,2.789484,,,4.569005,8.192213,5.486597,2.789484,7.905387,3.610149,5.757768,7.905387,3.610149,271.497,218.581,154.152,,,,,,
2026,77564,김민성,R,147,34,34,5,7,0,14.7059,20.5882,0.0,False,45.5782,54.4218,52.381,66.2338,22.8571,43.3767,72.9167,55.1724,50.0,16.6667,6.25,56.25,74.6269,25.3731,84.3137,43.75,71.4286,51,16,26,54,51.4286,32.5,18.9286,-3.111898,-2.116937,48,29,18,36,16,,,,,,,,,,,,0.777304,0.876931,0.215386,77.1429,1.003381,3,1.061256,0.352802,0.439071,-0.110625,0.91637,-0.159395,1.185966,0.513286,-0.159395,1.185966,115.288,97.609,117.789,,,,,,
2026,64793,김민수,R,11,3,3,0,0,0,0.0,0.0,0.0,False,54.5455,45.4545,45.4545,60.0,50.0,10.0,75.0,0.0,66.6667,50.0,0.0,25.0,83.3333,16.6667,100.0,66.6667,54.5455,3,3,2,3,50.0,40.0,10.0,-0.615668,-5.596982,4,1,3,2,1,,,,,,,,,,,,-0.141076,-3.176768,-0.757767,50.0,-3.677467,1,8.40507,0.543252,-2.419453,-0.170417,-3.57148,-0.245546,-4.622208,-2.433877,-0.245546,-4.622208,27.506,96.317,30.667,,,,,,
