season,batter_id,batter_name,batter_stance,pitches_seen,qualified_300,swing_pct,expected_swing_pct,decision_value,decision_value_per_100,decision_capture_pct,swing_pitches,swing_decision_value_per_100,take_pitches,take_decision_value_per_100,in_zone_pitches,in_zone_decision_value_per_100,out_zone_pitches,out_zone_decision_value_per_100,heart_pitches,heart_decision_value_per_100,heart_swing_decision_value_per_100,heart_take_decision_value_per_100,shadow_pitches,shadow_decision_value_per_100,shadow_swing_decision_value_per_100,shadow_take_decision_value_per_100,chase_pitches,chase_decision_value_per_100,chase_swing_decision_value_per_100,chase_take_decision_value_per_100,waste_pitches,waste_decision_value_per_100,waste_swing_decision_value_per_100,waste_take_decision_value_per_100,za_with_contact_plus,z_za_with_contact_plus,o_za_with_contact_plus,terminal_plate_appearances,walks,strikeouts,hit_by_pitch,bb_pct,k_pct,hbp_pct,z_swing_pct,o_swing_pct,heart_swing_pct,shadow_in_swing_pct,shadow_out_swing_pct,chase_swing_pct,waste_swing_pct,shadow_in_pitches,shadow_out_pitches,heart_vs_chase_residual,zone_vs_out_residual,pure_hc_residual_z,pure_zo_residual_z,pure_z_attack_z,out_zone_take_pct,pure_o_restraint_z,pure_cluster_id,pure_cluster_distance,pure_hc_residual_z_adjusted,pure_zo_residual_z_adjusted,pure_z_attack_z_adjusted,pure_o_restraint_z_adjusted,pure_z_attack_z_final,pure_o_restraint_z_final,zone_awareness_raw,z_zone_awareness_raw,o_zone_awareness_raw,zone_awareness_plus,z_zone_awareness_plus,o_zone_awareness_plus,bb_vs_oza_residual,bb_vs_oza_residual_z,bb_vs_oza_residual_outlier,k_vs_zza_residual,k_vs_zza_residual_z,k_vs_zza_residual_outlier,za_with_contact_value,za_with_contact_per_100
2024,65586,전병우,,550,True,44.545455,46.648791,34.547567,6.281376,51.27027,245,5.323452,305,7.050855,245,6.401794,305,6.184646,128,7.436395,12.755012,-9.20573,225,2.484913,3.85431,0.974737,130,8.988641,-12.896374,14.459895,67,11.571183,-13.123306,13.139087,97.9,96.839,99.083,128,14,42,1,10.9375,32.8125,0.7812,68.1633,25.5738,75.7812,59.8291,44.4444,20.0,5.9701,117,108,5.277654,3.263134,0.757653,0.580708,0.240728,74.4262,0.563905,3,0.529425,0.447558,0.280777,0.019807,0.474815,0.028958,0.619287,0.324123,0.028958,0.619287,108.705,100.434,109.289,0.648342,0.353554,False,13.052604,2.030439,True,34.547567,6.281376
2024,50820,전의산,,260,False,51.538462,48.476602,20.74847,7.980181,64.766551,134,6.903549,126,9.12517,121,9.023639,139,7.071847,72,10.15462,15.166589,-4.881289,92,5.716991,6.170549,4.86657,65,6.321378,-13.705966,14.593542,31,13.124568,-3.739783,13.686713,121.558,134.972,106.325,63,5,15,0,7.9365,23.8095,0.0,74.3802,31.6547,75.0,73.4694,55.814,29.2308,3.2258,49,43,2.378742,6.320378,0.341489,1.124775,1.212651,68.3453,-0.470002,4,2.188809,-0.40837,0.377645,0.308316,0.049061,0.450769,0.063989,0.257379,0.450769,0.063989,106.912,106.762,100.96,,,,,,,20.74847,7.980181
2024,78513,전준우,,1849,True,45.321796,44.661341,121.515941,6.571982,50.628311,838,4.203565,1011,8.53512,793,6.850514,1056,6.362819,395,8.958855,13.693101,-5.786347,768,2.818521,3.813595,1.604877,489,7.589114,-17.524118,14.539512,197,13.894137,-29.402775,16.454707,101.947,103.365,100.538,482,48,84,5,9.9585,17.4274,1.0373,67.5914,28.5985,75.6962,59.5477,50.0,21.6769,5.5838,398,370,4.807943,1.11959,0.690222,0.199242,0.15132,71.4015,0.04963,3,0.768593,0.380127,-0.100689,-0.069601,-0.03946,-0.10176,-0.051466,-0.076613,-0.10176,-0.051466,97.942,98.474,99.228,1.120593,0.611082,False,-2.023708,-0.314804,False,121.515941,6.571982
2024,67123,전준호,,5,False,100.0,59.278568,-0.073137,-1.462747,-7.638268,5,-1.462747,0,,2,22.109371,3,-17.177492,0,,,,3,11.317822,11.317822,,1,-9.591,-9.591,,1,-31.6762,-31.6762,,-9.945,325.293,-91.619,1,0,1,0,0.0,100.0,0.0,100.0,100.0,,100.0,100.0,100.0,100.0,2,1,,-3.572265,,-0.63572,5.217936,0.0,-12.090432,,,,-0.63572,5.217936,-12.090432,7.628819,-15.769177,-4.070179,7.628819,-15.769177,-9.313,214.432,-136.538,,,,,,,-0.073137,-1.462747
2024,53568,정대선,,8,False,50.0,45.29249,0.005362,0.067021,0.879476,4,-3.798027,4,3.932069,4,3.516601,4,-3.382559,0,,,,5,0.83018,1.462464,-0.118245,1,7.236622,,7.236622,2,-5.425678,-19.579501,8.728145,11.358,54.876,20.987,2,0,2,0,0.0,100.0,0.0,50.0,50.0,,50.0,100.0,0.0,50.0,4,1,,-27.5921,,-4.910292,-2.598841,50.0,-3.589167,,,,-4.910292,-2.598841,-3.589167,-3.799604,-4.68124,-4.240422,-3.799604,-4.68124,-13.886,43.006,29.781,,,,,,,0.005362,0.067021
2024,68518,정보근,,476,True,52.731092,44.811428,17.757549,3.730578,37.413914,251,2.676032,225,4.906982,216,5.973861,260,1.866927,106,5.506513,11.044827,-6.221681,213,3.159302,4.436478,1.158906,105,0.878164,-14.089031,10.088746,52,8.210114,-15.191607,13.108148,62.377,90.615,63.838,140,3,31,0,2.1429,22.1429,0.0,68.5185,39.6154,67.9245,69.0909,52.4272,38.0952,17.3077,110,103,-6.730411,-3.677728,-0.966208,-0.654489,0.296259,60.3846,-1.823522,1,1.566164,-0.652001,-0.274242,0.367054,-1.272526,0.536646,-1.659716,-0.561535,0.536646,-1.659716,84.919,108.05,75.104,-3.215235,-1.753333,True,1.183143,0.184047,False,17.757549,3.730578
2024,79231,정수빈,,2494,True,38.692863,45.585048,172.34843,6.910522,56.379999,965,5.145334,1529,8.024589,1175,5.428437,1319,8.230803,640,6.594387,13.542133,-4.83207,1004,3.412905,3.966413,2.95967,563,8.792105,-17.323736,14.70942,287,16.160012,-37.788382,18.310129,106.662,82.682,115.786,610,71,71,9,11.6393,11.6393,1.4754,57.2766,22.138,62.1875,51.4019,37.7399,18.4725,3.8328,535,469,-7.965611,-5.838313,-1.143532,-1.038987,-1.46125,77.862,1.148078,2,0.862889,-0.767365,-0.711764,-0.994889,0.773628,-1.454566,1.009019,-0.222773,-1.454566,1.009019,94.017,78.182,115.135,0.506884,0.276414,False,-4.614908,-0.717886,False,172.34843,6.910522
2024,69159,정우영,,3,False,66.666667,81.742198,0.525076,17.502532,80.140009,2,29.506856,1,-6.506116,3,17.502532,0,,3,17.502532,29.506856,-6.506116,0,,,,0,,,,0,,,,254.167,258.29,,1,0,1,0,0.0,100.0,0.0,66.6667,,66.6667,,,,,0,0,,,,,0.006757,,,,,,,0.006757,,0.009879,,,0.009879,,,100.148,,,,,,,,0.525076,17.502532
2024,68743,정은원,,341,True,32.258065,44.022532,26.542975,7.783864,61.123802,110,6.628337,231,8.334114,150,4.994087,191,9.974788,90,6.905991,13.32685,-4.184584,129,3.334116,5.34866,2.361578,74,11.247145,-21.421029,15.77043,48,16.049345,-31.183925,18.102966,118.824,76.365,130.022,78,13,16,0,16.6667,20.5128,0.0,51.3333,17.2775,63.3333,33.3333,31.8841,12.1622,4.1667,60,69,-5.372114,-9.256082,-0.771213,-1.647213,-2.390399,82.7225,1.974486,2,3.484915,-0.395046,-1.31999,-1.924038,1.600036,-2.813017,2.086877,-0.36307,-2.813017,2.086877,90.249,57.805,131.303,3.202127,1.746185,True,7.468883,1.161845,False,26.542975,7.783864
2024,53058,정준영,,298,False,42.61745,46.721689,15.992073,5.366467,45.890642,127,4.572985,171,5.955779,151,4.554596,147,6.200431,75,7.113091,13.959072,-5.057541,115,2.715671,6.521763,-0.773247,76,6.510736,-14.946564,13.169897,32,8.081481,-29.820855,16.828174,85.159,69.973,99.212,74,8,16,1,10.8108,21.6216,1.3514,56.9536,27.8912,64.0,50.0,43.5897,23.6842,18.75,76,39,-7.348768,-9.150695,-1.054979,-1.628458,-1.511746,72.1088,0.169889,1,2.624025,-0.740772,-1.248211,-1.440951,0.720885,-2.106725,0.940228,-0.583249,-2.106725,0.940228,84.336,68.399,114.103,,,,,,,15.992073,5.366467
