season,batter_id,batter_name,team,batter_stance,pitches_seen,qualified_300,swing_aggression,za_raw,za_percentile,raw_dv,dv_per_100,swing_pct,z_swing_pct,o_swing_pct,z_minus_o_swing,heart_swing_pct,meatball_swing_pct,shadow_swing_pct,chase_swing_pct,waste_swing_pct,z_swing_residual,o_swing_residual,heart_swing_residual,meatball_swing_residual,waste_swing_residual,shadow_swing_residual,cluster_id,cluster_distance,cluster_distance_outlier,z_swing_residual_z,o_swing_residual_z,heart_swing_residual_z,meatball_swing_residual_z,waste_swing_residual_z,shadow_swing_residual_z
2023,53400,김재상,SAM,,84,False,5.122578,0.656663,46.821,4.312173,5.133539,47.619048,71.428571,30.612245,40.816326,78.26087,75.0,53.125,20.0,11.111111,,,,,,,,,,,,,,,
2023,65132,김재성,SAM,,501,True,-7.954486,1.204404,52.89,26.903232,5.369907,38.323353,54.918033,22.568093,32.34994,62.987013,59.090909,37.980769,13.888889,3.225806,-9.75896,-3.05407,-7.42006,-14.905811,-2.069028,-12.011367,2,2.782225,False,-1.947742,-0.651916,-1.556533,-2.10836,-0.67112,-1.981502
2023,62332,김재현,KIW,,30,False,6.372105,-0.713944,31.792,0.007194,0.023979,56.666667,61.111111,50.0,11.111111,66.666667,25.0,58.823529,50.0,0.0,,,,,,,,,,,,,,,
2023,74206,김재호,DOO,,1118,True,-5.096905,2.252629,69.653,65.365639,5.846658,40.518784,60.958904,18.164794,42.79411,66.773163,74.468085,44.099379,12.121212,3.296703,-4.9596,-6.613,-5.347647,-1.4087,-1.36202,-5.932273,2,1.233122,False,-0.989862,-1.411598,-1.121795,-0.199254,-0.441791,-0.978641
2023,78224,김재환,DOO,,1830,True,-1.253762,4.484383,95.665,96.973567,5.299102,43.879781,66.9383,23.480947,43.457353,72.707889,80.821918,48.82199,18.483412,6.285714,-1.623477,0.500882,-3.061603,0.942326,2.981324,-1.293795,2,1.590819,False,-0.324022,0.106917,-0.642243,0.133288,0.967036,-0.213436
2023,53865,김정민,SSG,,8,False,5.402892,-14.650233,0.0,0.267243,3.340538,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,100.0,,,,,,,,,,,,,,,
2023,67504,김정율,LOT,,198,False,-5.064194,0.139439,41.618,12.237189,6.180399,39.89899,59.59596,20.20202,39.39394,69.090909,86.666667,43.037975,16.666667,0.0,,,,,,,,,,,,,,,
2023,66162,김주성,LG,,25,False,-1.648462,4.32921,94.798,2.593232,10.372926,40.0,69.230769,8.333333,60.897436,83.333333,,45.454545,0.0,0.0,,,,,,,,,,,,,,,
2023,51907,김주원,NC,,1954,True,0.370964,2.788578,77.168,96.86275,4.957152,46.16172,67.668394,25.176946,42.491448,73.038229,80.985915,51.058824,21.361502,7.734807,1.115116,0.830871,0.041199,4.147868,3.401323,1.006968,1,1.842333,False,0.22256,0.177356,0.008642,0.586697,1.103269,0.166118
2023,69306,김주형,KIW,,332,True,-4.980016,-4.856263,1.445,18.62455,5.609804,41.26506,55.696203,28.16092,27.535283,58.024691,61.111111,50.344828,18.181818,12.5,-1.802579,-2.343249,-2.473833,-2.015378,3.527271,0.581168,2,1.59221,False,-0.359768,-0.500185,-0.518945,-0.285066,1.144122,0.095875
