season,batter_id,batter_name,batter_stance,team,pitches_seen,qualified_300,swing_pct,expected_swing_pct,decision_value,decision_value_per_100,decision_capture_pct,swing_pitches,swing_decision_value_per_100,take_pitches,take_decision_value_per_100,in_zone_pitches,in_zone_decision_value_per_100,out_zone_pitches,out_zone_decision_value_per_100,heart_pitches,heart_decision_value_per_100,heart_swing_decision_value_per_100,heart_take_decision_value_per_100,shadow_pitches,shadow_decision_value_per_100,shadow_swing_decision_value_per_100,shadow_take_decision_value_per_100,chase_pitches,chase_decision_value_per_100,chase_swing_decision_value_per_100,chase_take_decision_value_per_100,waste_pitches,waste_decision_value_per_100,waste_swing_decision_value_per_100,waste_take_decision_value_per_100,zone_awareness_plus,z_zone_awareness_plus,o_zone_awareness_plus
2026,55425,김상준,L,—,204,False,44.607843,42.263027,11.144983,5.463227,43.268201,91,3.092651,113,7.372274,99,4.061371,105,6.784977,62,5.334383,10.850249,-9.266438,66,2.475084,4.35136,1.004489,48,4.083133,-20.49206,15.253675,28,15.157878,-12.819226,17.309963,85.11,69.08,100.13
2026,78603,김선빈,R,—,1856,True,37.984914,45.211908,133.128633,7.172879,55.691869,705,5.049221,1151,8.473643,817,5.941724,1039,8.140976,447,6.854075,14.422835,-5.362169,738,3.962857,4.888257,3.197799,457,9.15372,-21.040734,15.561031,214,14.678754,-24.694723,17.646604,110.227,97.266,111.333
2026,62934,김성욱,R,—,587,True,40.374787,45.268954,45.787113,7.80019,62.806287,237,7.134673,350,8.250839,276,6.326297,311,9.10821,149,6.508372,13.461589,-5.038936,242,5.338693,6.930279,3.82412,115,8.481289,-12.174556,13.095893,81,16.563604,-24.623487,19.273281,119.444,103.03,119.324
2026,67449,김성윤,L,—,1460,True,43.835616,39.851033,92.525527,6.337365,52.491732,640,3.005878,820,8.93755,632,5.324791,828,7.110247,334,5.500954,9.822011,-4.756101,580,4.128869,4.234289,4.008666,321,8.186317,-16.777179,15.797139,225,10.634145,-20.691321,13.858825,97.953,88.018,102.817
2026,69105,김성진,R,—,29,False,51.724138,42.884145,4.177161,14.404005,84.261153,15,13.540592,14,15.32909,14,14.697264,15,14.130297,6,23.032123,23.032123,,11,8.725598,13.496621,0.376308,5,-1.612267,-14.780098,7.166287,7,27.371881,,27.371881,216.463,228.506,160.813
2026,52514,김세민,R,—,176,False,47.727273,43.084874,13.713984,7.792036,53.807152,84,5.148678,92,10.205537,76,7.832939,100,7.76095,46,7.324326,12.052076,-7.718516,70,5.099729,4.407404,5.921864,40,10.950828,-14.61973,18.374538,20,11.973264,-12.618735,14.705708,119.324,125.614,108.193
2026,52430,김영웅,L,—,618,True,52.10356,45.837205,33.227187,5.376567,42.037365,322,2.775052,296,8.206594,285,7.312858,333,3.719381,135,8.658863,13.753174,-4.834178,264,3.193236,3.931934,1.900516,148,3.371448,-18.524701,13.881599,71,11.433571,-28.202937,16.466779,83.837,117.818,74.804
2026,56846,김요셉,L,—,10,False,70.0,45.964914,0.155228,1.552277,32.847602,7,0.518741,3,3.963861,4,4.309156,6,-0.285642,1,3.952022,3.952022,,6,1.59109,1.800215,1.172841,3,0.674736,-3.760846,9.545901,0,,,,27.653,72.794,41.717
2026,65898,김웅빈,L,—,1060,True,43.113208,43.86793,68.033984,6.4183,51.219151,457,3.928665,603,8.305138,498,5.317913,562,7.393377,256,7.304333,12.92738,-5.527748,414,3.912913,4.985109,2.920508,238,6.073004,-18.665843,15.367946,152,12.290581,-18.962033,15.7124,99.142,87.915,105.157
2026,63257,김인태,L,—,235,False,40.425532,46.361805,24.703557,10.512152,60.397608,95,10.6259,140,10.434966,106,8.072377,129,12.516928,55,10.217542,20.400878,-6.269763,97,5.624861,10.873212,0.04151,51,11.013102,-20.264543,18.641796,32,25.034721,-25.184581,26.654699,159.286,129.203,147.485
2026,53400,김재상,L,—,51,False,54.901961,43.325603,3.288481,6.448002,60.156584,28,6.415893,23,6.487091,24,8.200046,27,4.890629,8,17.434628,17.434628,,26,1.912304,4.721341,-2.582153,10,7.031099,-5.024925,10.045106,7,9.905738,-12.661805,18.932754,99.578,131.117,84.48
2026,65132,김재성,L,—,4,False,50.0,36.653896,0.160035,4.000876,50.693273,2,4.705388,2,3.296365,2,6.73984,2,1.261913,1,15.336673,15.336673,,2,-3.891446,-5.925897,-1.856994,0,,,,1,8.449723,,8.449723,63.626,109.229,54.502
2026,52424,김재혁,R,—,31,False,58.064516,50.417051,1.91113,6.164935,47.348113,18,6.47156,13,5.740376,16,9.611617,15,2.488473,8,12.506937,14.960366,-4.667065,14,1.866813,4.950109,-3.683119,4,1.312245,-11.741532,5.663503,5,11.934622,-21.043927,20.17926,95.419,152.275,64.635
2026,62332,김재현,R,—,97,False,39.175258,46.326767,9.56828,9.864206,62.72661,38,12.029706,59,8.469477,47,8.618148,50,11.035501,25,13.306888,22.343049,-5.894955,29,2.933539,12.382198,-7.190024,22,8.28821,-20.734699,16.824359,21,16.987741,-4.762468,18.075252,149.767,137.384,135.246
