season,batter_id,batter_name,team,pitches_seen,qualified_300,za_raw,dv_per_100,raw_dv,swing_aggression,zone_judgment_raw,za_percentile,low_opposite_support_pitches,low_opposite_support_pct,za_ci_low,za_ci_high,games_seen,swing_pitches,swing_decision_value_per_100,take_pitches,take_decision_value_per_100,heart_pitches,heart_raw_dv,heart_decision_value_per_100,heart_swing_decision_value_per_100,heart_take_decision_value_per_100,shadow_in_pitches,shadow_in_raw_dv,shadow_in_decision_value_per_100,shadow_in_swing_decision_value_per_100,shadow_in_take_decision_value_per_100,shadow_out_pitches,shadow_out_raw_dv,shadow_out_decision_value_per_100,shadow_out_swing_decision_value_per_100,shadow_out_take_decision_value_per_100,chase_pitches,chase_raw_dv,chase_decision_value_per_100,chase_swing_decision_value_per_100,chase_take_decision_value_per_100,waste_pitches,waste_raw_dv,waste_decision_value_per_100,waste_swing_decision_value_per_100,waste_take_decision_value_per_100
2024,78513,전준우,LOT,1849,True,0.066316,0.066316,1.226183,-0.014337,2.397222,59.032258,1849,100.0,-0.231775,0.349602,109,838,-0.341074,1011,0.40739,395,1.083187,0.058582,0.23499,-0.176407,398,-2.265095,-0.122504,0.236016,-0.35852,370,-0.603489,-0.032639,-0.269673,0.237034,489,3.081457,0.166655,-0.424297,0.590953,197,-0.069877,-0.003779,-0.118109,0.11433
2024,50854,최지훈,SSG,2200,True,0.005734,0.005734,0.126139,-3.574242,-3.501604,51.290323,2199,99.954545,-0.222725,0.24157,124,927,-0.287181,1273,0.292915,538,-1.599824,-0.072719,0.191911,-0.26463,472,0.773584,0.035163,0.246559,-0.211396,427,1.080043,0.049093,-0.15621,0.205303,534,-1.526559,-0.069389,-0.507473,0.438084,229,1.398896,0.063586,-0.061967,0.125553
2024,51817,추신수,SSG,1213,True,0.182669,0.182669,2.215769,-2.626076,1.588012,68.064516,1213,100.0,-0.201026,0.591087,78,506,-0.168699,707,0.351367,287,0.710314,0.058558,0.224127,-0.165569,252,-1.394561,-0.114968,0.219029,-0.333997,241,-0.751593,-0.061961,-0.251149,0.189187,284,2.569043,0.211793,-0.284192,0.495985,149,1.082566,0.089247,-0.076515,0.165762
2024,75847,최정,SSG,2114,True,0.404174,0.404174,8.544247,2.764728,4.026914,89.354839,2114,100.0,0.208537,0.658088,128,1028,-0.202458,1086,0.606632,481,2.925665,0.138395,0.262329,-0.123934,454,0.786465,0.037203,0.225775,-0.188572,393,-1.191217,-0.056349,-0.213452,0.157103,489,2.691588,0.127322,-0.393185,0.520507,297,3.331746,0.157604,-0.083923,0.241527
2024,62895,한유섬,SSG,2167,True,-0.055698,-0.055698,-1.206967,-1.779811,-1.467076,46.774194,2167,100.0,-0.286182,0.191943,132,988,-0.441823,1179,0.386126,492,-0.868155,-0.040063,0.202484,-0.242547,443,-0.086814,-0.004006,0.213371,-0.217377,433,1.259947,0.058142,-0.231095,0.289238,545,-0.914856,-0.042218,-0.491195,0.448977,254,-0.597089,-0.027554,-0.135388,0.107835
2024,53827,에레디아,SSG,2033,True,0.060782,0.060782,1.235707,9.331422,4.989631,57.741935,2033,100.0,-0.163969,0.262707,135,1082,-0.432455,951,0.493238,469,3.451983,0.169797,0.281487,-0.111689,386,2.177048,0.107086,0.234621,-0.127535,410,-2.221703,-0.109282,-0.310921,0.201639,486,-2.338961,-0.11505,-0.489406,0.374356,282,0.16734,0.008231,-0.148236,0.156468
2024,62931,노진혁,LOT,607,True,-0.037222,-0.037222,-0.22594,2.867627,1.301271,48.709677,607,100.0,-0.404129,0.31504,65,292,-0.250388,315,0.213166,139,0.443637,0.073087,0.252364,-0.179277,124,0.340444,0.056086,0.213472,-0.157386,143,-1.253115,-0.206444,-0.22959,0.023146,136,-0.087973,-0.014493,-0.373647,0.359154,65,0.331068,0.054542,-0.112987,0.167529
2024,61102,유강남,LOT,596,True,0.357613,0.357613,2.131375,0.319304,2.523644,87.419355,596,100.0,-0.092591,0.815608,51,280,-0.219329,316,0.576943,141,0.981882,0.164745,0.26712,-0.102374,138,-0.10774,-0.018077,0.203853,-0.22193,100,0.367349,0.061636,-0.187742,0.249378,142,0.274865,0.046118,-0.456898,0.503017,75,0.615019,0.103191,-0.045661,0.148852
2024,51551,나승엽,LOT,1985,True,0.246364,0.246364,4.890326,-6.29967,2.099492,75.806452,1985,100.0,-0.031466,0.508809,121,784,-0.158877,1201,0.405241,496,-1.595426,-0.080374,0.207916,-0.28829,419,-2.120834,-0.106843,0.208045,-0.314888,367,1.928335,0.097145,-0.174207,0.271353,498,5.800191,0.292201,-0.313527,0.605728,205,0.878061,0.044235,-0.087104,0.131339
2024,67893,박성한,SSG,2383,True,0.036261,0.036261,0.864101,-9.650176,-3.092943,54.516129,2382,99.958036,-0.196233,0.283652,137,905,-0.159862,1478,0.196123,610,-3.13366,-0.131501,0.193055,-0.324556,547,-1.229067,-0.051576,0.25201,-0.303587,442,1.714668,0.071954,-0.18639,0.258344,518,3.590468,0.15067,-0.304286,0.454957,266,-0.078309,-0.003286,-0.114251,0.110965
2024,50820,전의산,SSG,260,False,0.439674,0.439674,1.143152,4.307939,1.104127,89.677419,260,100.0,,,33,134,-0.00277,126,0.442444,72,0.453936,0.174591,0.319081,-0.14449,49,0.329261,0.126639,0.255954,-0.129315,43,0.22778,0.087608,-0.125074,0.212682,65,-0.1027,-0.0395,-0.448138,0.408638,31,0.234875,0.090336,-0.004593,0.09493
2024,79456,이지영,SSG,1380,True,-0.59935,-0.59935,-8.271037,10.30949,-5.78629,6.774194,1380,100.0,-0.866055,-0.337473,121,736,-0.772118,644,0.172768,311,0.983774,0.071288,0.241982,-0.170694,310,1.950362,0.141331,0.292929,-0.151598,254,-1.162879,-0.084267,-0.246847,0.162581,319,-7.551033,-0.547176,-0.771398,0.224222,186,-2.49126,-0.180526,-0.288784,0.108258
2024,77564,김민성,LOT,353,True,-0.071045,-0.071045,-0.25079,-4.501264,0.17372,44.193548,353,100.0,-1.181183,0.838913,31,154,-0.70848,199,0.637435,82,-0.029675,-0.008407,0.216664,-0.22507,75,0.120921,0.034255,0.303493,-0.269238,72,0.440082,0.124669,-0.197841,0.32251,79,-0.936759,-0.265371,-0.811265,0.545895,45,0.154641,0.043808,-0.21953,0.263338
2024,78756,오선진,LOT,101,False,-0.844029,-0.844029,-0.852469,5.950765,-1.861386,0.645161,101,100.0,,,18,55,-0.677936,46,-0.166092,26,-0.109767,-0.10868,0.421121,-0.529801,15,-0.014003,-0.013864,0.132266,-0.14613,24,-0.292867,-0.289967,-0.099207,-0.19076,28,-0.071925,-0.071213,-0.632345,0.561132,8,-0.363907,-0.360304,-0.499771,0.139467
2024,76802,김성현,SSG,685,True,0.690931,0.690931,4.732881,-7.047828,1.435247,98.387097,685,100.0,0.170817,1.193765,54,290,0.078136,395,0.612796,162,-1.185181,-0.173019,0.168827,-0.341846,148,0.23813,0.034764,0.27296,-0.238197,137,2.006608,0.292935,-0.077392,0.370328,164,2.760293,0.402962,-0.286259,0.689222,74,0.913032,0.133289,0.0,0.133289
2024,60558,오태곤,SSG,1140,True,-0.149643,-0.149643,-1.705934,2.000865,0.284052,35.806452,1140,100.0,-0.473554,0.172538,100,540,-0.375271,600,0.225628,253,-0.948107,-0.083167,0.181196,-0.264363,246,0.118384,0.010385,0.237675,-0.227291,226,-1.602457,-0.140566,-0.282792,0.142226,274,0.215173,0.018875,-0.425507,0.444381,141,0.511072,0.044831,-0.085843,0.130674
