season,batter_id,batter_name,team,pitches_seen,qualified_300,za_raw,dv_per_100,raw_dv,swing_aggression,zone_judgment_raw,za_percentile,low_opposite_support_pitches,swing_pitches,swing_decision_value_per_100,take_pitches,take_decision_value_per_100,heart_pitches,heart_raw_dv,heart_decision_value_per_100,heart_swing_decision_value_per_100,heart_take_decision_value_per_100,shadow_in_pitches,shadow_in_raw_dv,shadow_in_decision_value_per_100,shadow_in_swing_decision_value_per_100,shadow_in_take_decision_value_per_100,shadow_out_pitches,shadow_out_raw_dv,shadow_out_decision_value_per_100,shadow_out_swing_decision_value_per_100,shadow_out_take_decision_value_per_100,chase_pitches,chase_raw_dv,chase_decision_value_per_100,chase_swing_decision_value_per_100,chase_take_decision_value_per_100,waste_pitches,waste_raw_dv,waste_decision_value_per_100,waste_swing_decision_value_per_100,waste_take_decision_value_per_100
2025,79608,안치홍,HAN,744,True,-0.262166,-0.262166,-1.950516,5.354475,-2.465049,20.760234,233,375,-0.722752,369,0.460586,169,0.355693,0.047808,0.182577,-0.134768,161,0.701666,0.09431,0.174725,-0.080415,136,-0.413708,-0.055606,-0.222251,0.166645,172,-1.528261,-0.205411,-0.591169,0.385758,106,-1.065906,-0.143267,-0.266634,0.123367
2025,64007,문상철,KT,827,True,0.170738,0.170738,1.412002,0.228749,2.841828,62.280702,287,366,-0.315084,461,0.485822,202,-0.334458,-0.040442,0.215883,-0.256326,167,-0.21693,-0.026231,0.195768,-0.221999,144,0.321212,0.038841,-0.200281,0.239122,190,1.177604,0.142395,-0.403207,0.545602,124,0.464573,0.056176,-0.123247,0.179423
2025,50054,천성호,KT · LG,728,True,0.179421,0.179421,1.306188,5.157535,2.842363,62.865497,247,357,-0.422073,371,0.601494,186,1.041566,0.143072,0.227127,-0.084055,142,0.842594,0.115741,0.179187,-0.063446,134,-0.175895,-0.024161,-0.264988,0.240826,164,-0.749632,-0.102971,-0.40056,0.297588,102,0.347555,0.047741,-0.16284,0.210581
2025,64166,배정대,KT,1087,True,0.02452,0.02452,0.266528,0.60249,0.951958,49.415205,353,508,-0.548842,579,0.573362,281,0.703158,0.064688,0.260137,-0.195449,233,-0.532499,-0.048988,0.1866,-0.235588,179,0.730189,0.067175,-0.265215,0.33239,260,-1.796819,-0.165301,-0.653663,0.488362,134,1.162498,0.106946,-0.076702,0.183647
2025,79402,김상수,KT,1741,True,0.376025,0.376025,6.546592,-9.01474,-0.578763,86.25731,584,641,-0.204746,1100,0.580771,462,-1.486705,-0.085394,0.180694,-0.266088,351,-0.388458,-0.022312,0.144441,-0.166753,340,4.594792,0.263917,-0.084237,0.348154,389,2.815872,0.161739,-0.361828,0.523567,199,1.011092,0.058075,-0.083816,0.141891
2025,50704,임종찬,HAN,151,False,0.319793,0.319793,0.482887,10.30785,6.79686,83.040936,49,83,-0.251883,68,0.571675,32,0.267373,0.177068,0.263693,-0.086625,35,0.111003,0.073512,0.171602,-0.09809,22,-0.290031,-0.192073,-0.224213,0.03214,48,0.283871,0.187994,-0.392382,0.580376,14,0.11067,0.073291,-0.070583,0.143874
2025,78288,최재훈,HAN,1441,True,0.716899,0.716899,10.330522,-10.745622,-1.230002,97.953216,490,544,-0.05955,897,0.77645,358,0.375768,0.026077,0.172613,-0.146536,347,0.17902,0.012423,0.181356,-0.168932,268,2.016379,0.139929,-0.153616,0.293545,296,6.276074,0.435536,-0.188079,0.623615,172,1.48328,0.102934,-0.071824,0.174758
2025,64006,심우준,HAN,1080,True,0.118492,0.118492,1.27971,-1.841621,-1.737384,58.187135,328,489,-0.383714,591,0.502206,288,0.825771,0.07646,0.212074,-0.135613,222,0.831578,0.076998,0.153325,-0.076327,215,0.555625,0.051447,-0.183362,0.234809,246,-1.610596,-0.149129,-0.50542,0.35629,109,0.677333,0.062716,-0.060331,0.123047
2025,54795,황영묵,HAN,1038,True,-0.137986,-0.137986,-1.432293,0.965395,-1.30283,33.040936,313,483,-0.341085,555,0.2031,255,0.511219,0.04925,0.185212,-0.135962,226,-0.395545,-0.038106,0.163566,-0.201672,194,-0.61071,-0.058835,-0.167052,0.108217,259,-0.636087,-0.06128,-0.39437,0.33309,104,-0.301169,-0.029014,-0.128442,0.099427
2025,76812,이재원,HAN,525,True,-0.284692,-0.284692,-1.494635,2.293186,-2.370292,19.590643,142,260,-0.564953,265,0.280261,132,-0.848371,-0.161595,0.223725,-0.385319,115,0.330428,0.062939,0.18001,-0.117071,106,-0.386931,-0.073701,-0.33842,0.264719,116,-0.205902,-0.039219,-0.425655,0.386436,56,-0.383859,-0.073116,-0.204613,0.131497
2025,50707,최인호,HAN,663,True,-0.176702,-0.176702,-1.171534,-3.630943,-2.897978,28.947368,243,273,-0.439746,390,0.263044,138,-0.690934,-0.104213,0.127309,-0.231523,157,-0.273297,-0.041221,0.162965,-0.204186,121,-0.263124,-0.039687,-0.167287,0.1276,143,0.331671,0.050026,-0.332506,0.382532,104,-0.275851,-0.041606,-0.230228,0.188622
2025,68700,이원석,HAN,932,True,0.445685,0.445685,4.153787,-3.363517,3.255764,90.935673,281,400,-0.287938,532,0.733623,210,0.467445,0.050155,0.214376,-0.164221,208,-0.797377,-0.085555,0.142926,-0.228481,183,1.74878,0.187637,-0.172079,0.359717,218,2.44346,0.262174,-0.368535,0.630709,113,0.291479,0.031275,-0.104625,0.135899
2025,52769,권광민,HAN,73,False,0.184016,0.184016,0.134331,10.200861,-0.771962,63.157895,21,40,-0.071998,33,0.256014,15,0.053955,0.073911,0.134242,-0.060331,18,0.250424,0.343047,0.373752,-0.030704,13,0.206207,0.282476,0.231836,0.05064,17,-0.256361,-0.351179,-0.52358,0.172401,10,-0.119895,-0.16424,-0.288248,0.124008
2025,64504,오윤석,KT,738,True,-0.057417,-0.057417,-0.42374,-0.722172,-0.62315,40.643275,217,334,-0.44362,404,0.386203,166,0.148239,0.020087,0.231298,-0.211211,162,-0.96739,-0.131083,0.165807,-0.29689,131,-0.45073,-0.061075,-0.187035,0.12596,192,0.600898,0.081422,-0.541192,0.622614,87,0.245243,0.033231,-0.112498,0.145729
2025,50500,황성빈,LOT,994,True,-0.570171,-0.570171,-5.667495,6.261881,-4.422296,5.555556,335,491,-0.709464,503,0.139294,237,-0.142931,-0.014379,0.196303,-0.210682,214,0.74427,0.074876,0.195328,-0.120452,191,-2.269505,-0.22832,-0.36593,0.13761,218,-3.624306,-0.364618,-0.597361,0.232743,134,-0.375023,-0.037729,-0.137803,0.100074
2025,69517,고승민,LOT,2150,True,0.07156,0.07156,1.538533,-5.366203,-1.562815,55.847953,756,854,-0.285766,1296,0.357326,560,-0.140757,-0.006547,0.188298,-0.194845,458,-0.625671,-0.029101,0.140298,-0.169399,379,0.827185,0.038474,-0.153457,0.191931,526,1.625969,0.075626,-0.337175,0.412802,227,-0.148193,-0.006893,-0.12373,0.116837
2025,51551,나승엽,LOT,1631,True,0.599602,0.599602,9.779512,-8.470372,1.554297,97.368421,546,601,-0.115234,1030,0.714837,412,-0.791574,-0.048533,0.172602,-0.221135,338,0.784887,0.048123,0.195649,-0.147526,311,1.891095,0.115947,-0.180221,0.296168,392,5.034435,0.308672,-0.281294,0.589965,178,2.860669,0.175394,-0.02197,0.197363
2025,66108,홍창기,LG,931,True,0.782027,0.782027,7.280674,-15.43862,-0.907895,99.122807,312,302,0.129272,629,0.652755,256,0.057122,0.006136,0.201683,-0.195548,207,-0.964471,-0.103595,0.162339,-0.265934,185,2.398959,0.257675,-0.081926,0.339601,193,4.685923,0.503322,-0.146526,0.649847,90,1.10314,0.11849,-0.006298,0.124788
2025,76290,김현수,LG,2151,True,0.564487,0.564487,12.142108,-4.65363,3.123098,96.19883,701,864,-0.124408,1287,0.688895,538,0.469833,0.021843,0.175482,-0.153639,434,1.034631,0.0481,0.163423,-0.115323,407,1.32509,0.061603,-0.151993,0.213596,530,6.947508,0.32299,-0.254709,0.577698,242,2.365046,0.109951,-0.056612,0.166563
2025,53123,오스틴,LG,1892,True,0.070874,0.070874,1.340939,-1.501233,0.376583,54.678363,644,800,-0.564074,1092,0.634948,432,0.064105,0.003388,0.160614,-0.157226,370,-0.1603,-0.008473,0.100446,-0.108918,353,0.941443,0.049759,-0.203437,0.253197,482,-0.250726,-0.013252,-0.467056,0.453804,255,0.746417,0.039451,-0.15464,0.194091
2025,69102,문보경,LG,2506,True,0.456022,0.456022,11.427908,-3.762589,2.788842,92.105263,896,1027,-0.136153,1479,0.592174,569,1.212714,0.048392,0.205785,-0.157392,533,-0.589829,-0.023537,0.211926,-0.235462,481,1.383561,0.05521,-0.197133,0.252343,606,6.530908,0.260611,-0.297205,0.557816,317,2.890554,0.115345,-0.059525,0.17487
2025,79109,오지환,LG,1977,True,0.26236,0.26236,5.186853,0.762814,3.454269,75.730994,670,920,-0.252169,1057,0.514528,479,1.59326,0.08059,0.21135,-0.13076,432,0.695745,0.035192,0.193999,-0.158807,361,-1.215306,-0.061472,-0.25024,0.188768,456,2.232791,0.112938,-0.340196,0.453134,249,1.880363,0.095112,-0.067082,0.162194
2025,68110,송찬의,LG,647,True,0.398012,0.398012,2.575141,1.574072,3.963725,87.426901,209,321,-0.316624,326,0.714636,159,-0.060142,-0.009295,0.184985,-0.194281,148,0.392221,0.060621,0.153219,-0.092598,128,0.540045,0.083469,-0.150112,0.233581,133,1.204008,0.186091,-0.38419,0.570281,79,0.499008,0.077126,-0.120526,0.197652
2025,79365,박동원,LG,2033,True,0.1076,0.1076,2.187513,3.768541,4.217503,57.017544,712,968,-0.511769,1065,0.61937,453,1.596654,0.078537,0.220679,-0.142142,392,-1.876235,-0.092289,0.160848,-0.253137,390,-1.103511,-0.05428,-0.283373,0.229093,482,1.288008,0.063355,-0.4837,0.547055,316,2.282596,0.112277,-0.126222,0.2385
