vb_pitch_id,vb_pa_id,vb_pa_result,code,vb_velocity_kmh,tm_rel_speed,dv,vb_pitch_type_kr,tm_tagged_pitch_type,vb_balls_before,vb_strikes_before,tm_balls_before,tm_strikes_before,tm_event,run_kind,vb_internal,dist
20240419LGSK0-20240419LGSK0-040-03,20240419LGSK0-040,삼진,B,128.0,128.47,1.0889999999999986,체인지업,ChangeUp,1,1,1,1,strike,equal_length,vb_flow_supports_strike,0.588
20240419LGSK0-20240419LGSK0-050-01,20240419LGSK0-050,일희,B,140.0,140.644,0.914999999999992,포심,Fastball,0,0,0,0,strike,equal_length,vb_flow_undecided,0.020746887966805065
20240420SSHH0-20240420SSHH0-055-02,20240420SSHH0-055,포BO,B,129.0,132.386,-1.8269999999999982,슬라이더,Curveball,1,0,1,0,strike,equal_length,vb_flow_undecided,0.40800000000000003
20240421KTLT1-20240421KTLT1-050-01,20240421KTLT1-050,투BO,B,127.0,128.248,0.31100000000000705,체인지업,ChangeUp,0,0,0,0,strike,equal_length,vb_flow_undecided,1.332
20240421KTLT2-20240421KTLT2-021-01,20240421KTLT2-021,좌비,B,127.0,129.054,-0.49500000000000455,포크,Splitter,0,0,0,0,strike,equal_length,vb_flow_undecided,0.276
20240423HHKT0-20240423HHKT0-035-01,20240423HHKT0-035,일희,B,142.0,144.568,-1.0090000000000146,포심,Fastball,0,0,0,0,strike,equal_length,vb_flow_undecided,1.6610778443113774
20240423HTWO0-20240423HTWO0-014-01,20240423HTWO0-014,삼진,B,134.0,134.382,1.1769999999999925,슬라이더,Slider,0,0,0,0,strike,equal_length,vb_flow_supports_strike,0.732
20240423NCOB0-20240423NCOB0-036-03,20240423NCOB0-036,삼진,B,129.0,130.205,0.353999999999985,커터,Slider,2,0,2,0,strike,equal_length,vb_flow_broken_either_way,0.804
20240423NCOB0-20240423NCOB0-036-04,20240423NCOB0-036,삼진,B,136.0,136.577,0.9819999999999993,포심,Fastball,3,0,2,1,strike,equal_length,vb_flow_broken_either_way,0.5216881594372805
20240424NCOB0-20240424NCOB0-039-01,20240424NCOB0-039,투희,B,147.0,148.212,0.3470000000000084,포심,Fastball,0,0,0,0,strike,equal_length,vb_flow_undecided,0.588
20240424SKLT0-20240424SKLT0-011-01,20240424SKLT0-011,우중이,B,139.0,140.553,0.006000000000000227,투심,Splitter,0,0,0,0,strike,equal_length,vb_flow_undecided,1.0696864111498257
20240424SKLT0-20240424SKLT0-024-02,20240424SKLT0-024,이땅,B,126.0,127.449,0.10999999999999943,포크,Splitter,1,0,1,0,strike,equal_length,vb_flow_undecided,0.78
